file_name,function_name,complexity,tokens,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct,finish_reason,syntax_error
functionobjects.bc,_Z9quicksortIPdXadL_Z19less_than_function2ddEEEvT_S1_,6,18830,gemini/gemini-3.5-flash,63.234,391.206,passed,82,34,58.54,stop,
functionobjects.bc,_Z9quicksortIPdNSt3__14lessIdEEEvT_S4_T0_,6,18982,gemini/gemini-3.5-flash,74.663,111.585,passed,85,36,57.65,stop,
functionobjects.bc,_ZNSt3__17__sort5B8ne190102INS_17_ClassicAlgPolicyERPFbddEPdEEvT1_S6_S6_S6_S6_T0_,5,18646,gemini/gemini-3.5-flash,57.567,80.127,rejected,59,59,0.0,stop,
functionobjects.bc,_ZNSt3__111__sift_downB8ne190102INS_17_ClassicAlgPolicyERPFbddEPdEEvT1_OT0_NS_15iterator_traitsIS6_E15difference_typeES6_,11,19870,gemini/gemini-3.5-flash,64.074,1207.582,unsupported,140,140,0.0,stop,
functionobjects.bc,_ZNSt3__19__sift_upB8ne190102INS_17_ClassicAlgPolicyERPFbddEPdEEvT1_S6_OT0_NS_15iterator_traitsIS6_E15difference_typeE,5,18700,gemini/gemini-3.5-flash,54.582,309.334,rejected,71,71,0.0,stop,
functionobjects.bc,_ZNSt3__116__insertion_sortB8ne190102INS_17_ClassicAlgPolicyER17less_than_functorPdEEvT1_S5_T0_,6,18972,gemini/gemini-3.5-flash,51.238,2.395,rejected,81,81,0.0,stop,
functionobjects.bc,_ZNSt3__19__sift_upB8ne190102INS_17_ClassicAlgPolicyER17less_than_functorPdEEvT1_S5_OT0_NS_15iterator_traitsIS5_E15difference_typeE,5,18694,gemini/gemini-3.5-flash,63.728,1203.736,unsupported,65,65,0.0,stop,
functionobjects.bc,_ZNSt3__126__insertion_sort_unguardedB8ne190102INS_17_ClassicAlgPolicyER24inline_less_than_functorPdEEvT1_S5_T0_,5,18931,gemini/gemini-3.5-flash,79.541,4.905,rejected,78,78,0.0,stop,
functionobjects.bc,_ZNSt3__17__sort3B8ne190102INS_17_ClassicAlgPolicyER24inline_less_than_functorPdEEjT1_S5_S5_T0_,6,19044,gemini/gemini-3.5-flash,73.147,1533.43,unsupported,69,69,0.0,stop,
fpcmp.bc,diff_file,25,8352,gemini/gemini-3.5-flash,79.449,1.494,unsupported,325,325,0.0,stop,
exptree.bc,doSearch,8,3106,gemini/gemini-3.5-flash,36.905,20.846,passed,72,48,33.33,stop,
linpack-pc.bc,idamax,8,4848,gemini/gemini-3.5-flash,43.393,7.401,passed,135,51,62.22,stop,
linpack-pc.bc,ddot,8,4883,gemini/gemini-3.5-flash,18.203,48.361,passed,135,48,64.44,stop,
deriche.bc,check_FP,5,3947,gemini/gemini-3.5-flash,22.351,1.447,unsupported,97,97,0.0,stop,
ReedSolomon.bc,gen_poly,5,3167,gemini/gemini-3.5-flash,35.315,0.062,unsupported,107,107,0.0,stop,
