file_name,function_name,complexity,tokens,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct,finish_reason,syntax_error
ReedSolomon.bc,decode_rs,59,23597,gemini/gemini-3.5-flash,273.916,,syntax_fail,1217,1217,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: assembly parsed, but does not verify as correct!
PHI node entries do not match predecessors!
  %r = phi i32 [ 1, %loop.init.elp.end ], [ %r.next, %loop.r.backedge ]
label %loop.r.backedge
label %loop.r.cond.l
PHI node entries do not match predecessors!
  %i.err = phi i32 [ 0, %loop.z.end ], [ %i.err.next, %loop.err.init.body ]
label %loop.err.init.body
label %loop.err.init.inc
Instruction does not dominate all uses!
  %i.err.next = add nsw i32 %i.err, 1
  %i.err = phi i32 [ 0, %loop.z.end ], [ %i.err.next, %loop.err.init.body ]
PHI node entries do not match predecessors!
  %i.recd = phi i32 [ 0, %else.syn ], [ 0, %else.l.gt.8 ], [ 0, %else.syn.ne.l ], [ %i.recd.next, %loop.recd.init.body ]
label %loop.recd.init.body
label %loop.recd.init.inc
Instruction does not dominate all uses!
  %i.recd.next = add nsw i32 %i.recd, 1
  %i.recd = phi i32 [ 0, %else.syn ], [ 0, %else.l.gt.8 ], [ 0, %else.syn.ne.l ], [ %i.recd.next, %loop.recd.init.body ]"
Puzzle.bc,Puzzle,49,13301,gemini/gemini-3.5-flash,64.774,0.089,unsupported,672,672,0.0,stop,
timeit.bc,main,36,11507,gemini/gemini-3.5-flash,123.2,1015.928,unsupported,378,378,0.0,stop,
timeit.bc,execute_target_process,27,8704,gemini/gemini-3.5-flash,60.373,61.213,unsupported,219,219,0.0,stop,
timeit.bc,monitor_child_process,18,8881,gemini/gemini-3.5-flash,82.398,1201.054,unsupported,224,224,0.0,stop,
huffbench.bc,compdecomp,32,13291,gemini/gemini-3.5-flash,245.207,,syntax_fail,660,660,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: assembly parsed, but does not verify as correct!
PHI node entries do not match predecessors!
  %inner_iv = phi i64 [ 0, %loop6.body ], [ %inner_iv.next, %loop6.inner.body ]
label %loop6.body
label %loop6.inner.step
Instruction does not dominate all uses!
  %inner_iv.next = add i64 %inner_iv, 1
  %inner_iv = phi i64 [ 0, %loop6.body ], [ %inner_iv.next, %loop6.inner.body ]
Instruction does not dominate all uses!
  %mask.next = lshr i64 %mask, 1
  %mask = phi i64 [ %mask_init, %loop6.body ], [ %mask.next, %loop6.inner.body ]
Instruction does not dominate all uses!
  %curr_byte_inner.next = select i1 %cmp_and, i8 %curr_byte_step.or, i8 %curr_byte_step
  %curr_byte_inner = phi i8 [ %current_byte, %loop6.body ], [ %curr_byte_inner.next, %loop6.inner.body ]
Instruction does not dominate all uses!
  %bit_idx_inner.next = phi i32 [ %bit_idx_step, %loop6.inner.step ]
  %bit_idx_inner = phi i32 [ %bit_index, %loop6.body ], [ %bit_idx_inner.next, %loop6.inner.body ]
Instruction does not dominate all uses!
  %bit_cnt_inner.next = phi i64 [ %bit_cnt_step, %loop6.inner.step ]
  %bit_cnt_inner = phi i64 [ %bit_count, %loop6.body ], [ %bit_cnt_inner.next, %loop6.inner.body ]
PHI nodes not grouped at top of basic block!
  %bit_idx_inner.next = phi i32 [ %bit_idx_step, %loop6.inner.step ]
label %loop6.inner.step
PHI node entries do not match predecessors!
  %inner_iv8 = phi i64 [ %iv8, %loop8.body ], [ %inner_iv8.dec, %loop8.inner.cond ]
label %loop8.inner.cond
label %loop8.inner.step
PHI node entries do not match predecessors!
  %decoded_count = phi i64 [ 0, %loop9.end ], [ %decoded_count.next, %loop10.latch ]
label %loop10.latch
label %loop10.latch.cont
Instruction does not dominate all uses!
  %mask10.next = phi i64 [ %mask10.shifted, %loop10.mask_shift ], [ 128, %loop10.mask_reset ]
  %mask10 = phi i64 [ 128, %loop9.end ], [ %mask10.next, %loop10.latch ]
Instruction does not dominate all uses!
  %ptr_compressed.next = phi ptr [ %ptr_compressed, %loop10.mask_shift ], [ %ptr_compressed.inc, %loop10.mask_reset ]
  %ptr_compressed = phi ptr [ %malloc_ptr, %loop9.end ], [ %ptr_compressed.next, %loop10.latch ]"
whetstone.bc,main,30,13131,gemini/gemini-3.5-flash,170.077,1.465,unsupported,702,702,0.0,stop,
exptree.bc,recSearch,22,5961,gemini/gemini-3.5-flash,67.864,45.734,rejected,239,239,0.0,stop,
functionobjects.bc,main,21,26661,gemini/gemini-3.5-flash,80.607,1202.572,unsupported,501,501,0.0,stop,
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyERPFbddEPdLb0EEEvT1_S6_T0_NS_15iterator_traitsIS6_E15difference_typeEb,15,23731,gemini/gemini-3.5-flash,123.65,,syntax_fail,292,292,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: assembly parsed, but does not verify as correct!
Instruction does not dominate all uses!
  %partition.right.ptr.plus.1 = getelementptr inbounds double, ptr %partition.right.ptr, i64 1
  %first.phi = phi ptr [ %0, %entry ], [ %partition.left, %partition.equals.on.left ], [ %first.phi, %loop.backedge.right.only ], [ %partition.right.ptr.plus.1, %loop.backedge.left.only ], [ %partition.right.ptr.plus.1, %recurse.and.loop ]"
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyER24inline_less_than_functorPdLb0EEEvT1_S5_T0_NS_15iterator_traitsIS5_E15difference_typeEb,15,23795,gemini/gemini-3.5-flash,127.101,1.425,unsupported,286,286,0.0,stop,
functionobjects.bc,_ZNSt3__118__bitset_partitionB8ne190102INS_17_ClassicAlgPolicyEPdR24inline_less_than_functorEENS_4pairIT0_bEES6_S6_T1_,14,21198,gemini/gemini-3.5-flash,120.21,1.584,unsupported,168,168,0.0,stop,
linpack-pc.bc,main,21,16067,gemini/gemini-3.5-flash,161.597,,syntax_fail,738,738,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: /tmp/tmp44ovb49d.ll:339:50: error: expected ',' after select value
  %passes.next = select i1 %cmp_neg, i32 %passes * 2, i32 %passes
                                                 ^"
linpack-pc.bc,dgesl,10,7421,gemini/gemini-3.5-flash,75.005,1314.625,unsupported,287,287,0.0,stop,
linpack-pc.bc,dmxpy,11,14080,gemini/gemini-3.5-flash,188.005,32.923,unsupported,732,732,0.0,stop,
smallpt.bc,_Z8radianceRK3RayiPt,18,22834,gemini/gemini-3.5-flash,241.12,1.617,unsupported,999,999,0.0,stop,
smallpt.bc,main,12,12441,gemini/gemini-3.5-flash,275.07,,syntax_fail,510,510,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: /tmp/tmpjxyz10nm.ll:246:7: error: expected '=' after instruction id
  %768_y = sub nsw i32 768, %y
      ^"
ffbench.bc,main,18,6646,gemini/gemini-3.5-flash,136.747,,syntax_fail,314,314,0.0,stop,"/home/jovyan/llvm_toolchain/llvm-project/llvm/build/bin/llvm-as: /tmp/tmpkbwgg_q0.ll:175:3: error: multiple definition of local value named 'i.and'
  %i.and = and i32 %i.v, 15
  ^"
ffbench.bc,fourn,13,8571,gemini/gemini-3.5-flash,152.585,1200.902,passed,450,148,67.11,stop,
fpcmp.bc,AdvanceNumber,16,4948,gemini/gemini-3.5-flash,59.955,1205.789,unsupported,130,130,0.0,stop,
fpcmp.bc,CompareNumbers,17,7231,gemini/gemini-3.5-flash,71.719,1.601,unsupported,262,262,0.0,stop,
fpcmp.bc,main,11,5791,gemini/gemini-3.5-flash,57.733,1.575,unsupported,174,174,0.0,stop,
nussinov.bc,kernel_nussinov,16,8370,gemini/gemini-3.5-flash,56.429,0.159,passed,373,70,81.23,stop,
nussinov.bc,kernel_nussinov_StrictFP,16,8370,gemini/gemini-3.5-flash,63.492,0.243,passed,373,70,81.23,stop,
flops.bc,main,15,24685,gemini/gemini-3.5-flash,289.559,,pending,1341,1341,0.0,length,
fannkuch.bc,fannkuch,15,5674,gemini/gemini-3.5-flash,82.212,3.24,passed,294,123,58.16,stop,
queens.bc,main,15,4669,gemini/gemini-3.5-flash,57.238,29.062,unsupported,177,177,0.0,stop,
