file_name,function_name,complexity,tokens,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
timeit.bc,execute_target_process,27,8704,ollama/qwen2.5-coder:32b,212.852,30.117,unsupported,219,219,0.0
timeit.bc,monitor_child_process,18,8881,ollama/qwen2.5-coder:32b,225.588,0.041,passed,224,224,0.0
exptree.bc,recSearch,22,5961,ollama/qwen2.5-coder:32b,217.125,16.306,unsupported,239,239,0.0
functionobjects.bc,_ZNSt3__118__bitset_partitionB8ne190102INS_17_ClassicAlgPolicyEPdR24inline_less_than_functorEENS_4pairIT0_bEES6_S6_T1_,14,21198,ollama/qwen2.5-coder:32b,201.272,1.516,unsupported,168,168,0.0
ReedSolomon.bc,decode_rs,59,23597,ollama/qwen2.5-coder:32b,264.891,0.255,unsupported,1217,1217,0.0
Puzzle.bc,Puzzle,49,13301,ollama/qwen2.5-coder:32b,,,pending,672,672,0.0
timeit.bc,main,36,11507,ollama/qwen2.5-coder:32b,,,pending,378,378,0.0
huffbench.bc,compdecomp,32,13291,ollama/qwen2.5-coder:32b,,,pending,660,660,0.0
whetstone.bc,main,30,13131,ollama/qwen2.5-coder:32b,,,pending,702,702,0.0
functionobjects.bc,main,21,26661,ollama/qwen2.5-coder:32b,,,pending,501,501,0.0
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyERPFbddEPdLb0EEEvT1_S6_T0_NS_15iterator_traitsIS6_E15difference_typeEb,15,23731,ollama/qwen2.5-coder:32b,,,pending,292,292,0.0
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyER24inline_less_than_functorPdLb0EEEvT1_S5_T0_NS_15iterator_traitsIS5_E15difference_typeEb,15,23795,ollama/qwen2.5-coder:32b,,,pending,286,286,0.0
linpack-pc.bc,main,21,16067,ollama/qwen2.5-coder:32b,,,pending,738,738,0.0
linpack-pc.bc,dgesl,10,7421,ollama/qwen2.5-coder:32b,267.203,0.044,passed,287,287,0.0
linpack-pc.bc,dmxpy,11,14080,ollama/qwen2.5-coder:32b,,,pending,732,732,0.0
smallpt.bc,_Z8radianceRK3RayiPt,18,22834,ollama/qwen2.5-coder:32b,,,pending,999,999,0.0
smallpt.bc,main,12,12441,ollama/qwen2.5-coder:32b,,,pending,510,510,0.0
ffbench.bc,main,18,6646,ollama/qwen2.5-coder:32b,263.046,,syntax_fail,314,314,0.0
ffbench.bc,fourn,13,8571,ollama/qwen2.5-coder:32b,,,pending,450,450,0.0
fpcmp.bc,AdvanceNumber,16,4948,ollama/qwen2.5-coder:32b,153.644,,syntax_fail,130,130,0.0
fpcmp.bc,CompareNumbers,17,7231,ollama/qwen2.5-coder:32b,,,pending,262,262,0.0
fpcmp.bc,main,11,5791,ollama/qwen2.5-coder:32b,244.563,1.507,unsupported,174,174,0.0
nussinov.bc,kernel_nussinov,16,8370,ollama/qwen2.5-coder:32b,,,pending,373,373,0.0
nussinov.bc,kernel_nussinov_StrictFP,16,8370,ollama/qwen2.5-coder:32b,,,pending,373,373,0.0
flops.bc,main,15,24689,ollama/qwen2.5-coder:32b,,,pending,1341,1341,0.0
