file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
not.bc,unknown_failed_module,,,False,error,,,error,0,0,0.0
timeit.bc,main,36,13725,False,ollama/qwen2.5-coder:7b,76.082,,syntax_fail,378,378,0.0
timeit.bc,streq,1,6066,True,,,,pending,10,10,0.0
timeit.bc,usage,1,7464,True,,,,pending,44,44,0.0
timeit.bc,execute,3,6637,True,,,,pending,41,41,0.0
timeit.bc,terminate_handler,2,6367,True,,,,pending,20,20,0.0
timeit.bc,timeout_handler,1,6146,True,,,,pending,11,11,0.0
timeit.bc,sample_wall_time,1,6153,True,,,,pending,12,12,0.0
timeit.bc,execute_target_process,27,10292,False,ollama/qwen2.5-coder:7b,,,pending,219,219,0.0
timeit.bc,monitor_child_process,18,10553,False,ollama/qwen2.5-coder:7b,86.696,,syntax_fail,224,224,0.0
timeit.bc,set_resource_limit_actual,3,6856,True,,,,pending,43,43,0.0
fpcmp.bc,load_file,7,6012,False,ollama/qwen2.5-coder:3b,,,pending,98,98,0.0
fpcmp.bc,diff_file,25,10566,False,ollama/qwen2.5-coder:7b,110.393,,syntax_fail,328,328,0.0
fpcmp.bc,skip_whitespace,3,4564,True,,,,pending,32,32,0.0
fpcmp.bc,isPossibleStartOfNumber,3,4216,True,,,,pending,14,14,0.0
fpcmp.bc,AdvanceNumber,16,6568,False,ollama/qwen2.5-coder:3b,,,pending,130,130,0.0
fpcmp.bc,CompareNumbers,17,9159,False,ollama/qwen2.5-coder:7b,127.491,,syntax_fail,262,262,0.0
fpcmp.bc,dump_inputs,1,4097,True,,,,pending,9,9,0.0
fpcmp.bc,usage,1,4103,True,,,,pending,7,7,0.0
fpcmp.bc,main,11,7477,False,ollama/qwen2.5-coder:3b,,,pending,174,174,0.0
fpcmp.bc,isspace,1,4033,True,,,,pending,5,5,0.0
fpcmp.bc,__istype,2,4492,True,,,,pending,30,30,0.0
fpcmp.bc,isascii,1,4046,True,,,,pending,7,7,0.0
fpcmp.bc,isDigitChar,2,4254,True,,,,pending,12,12,0.0
fpcmp.bc,isSignedChar,2,4141,True,,,,pending,12,12,0.0
fpcmp.bc,isExponentChar,2,4176,True,,,,pending,12,12,0.0
fpcmp.bc,dump_input,2,4313,True,,,,pending,17,17,0.0
fpcmp.bc,contains_non_printable_characters,5,4910,False,ollama/qwen2.5-coder:3b,89.424,0.085,unsupported,52,52,0.0
fpcmp.bc,isprint,1,4033,True,,,,pending,5,5,0.0
CMakeCCompilerId.bc,main,1,1605,True,,,,pending,64,64,0.0
CMakeCXXCompilerId.bc,main,1,1611,True,,,,pending,63,63,0.0
fbench.bc,main,12,10296,False,ollama/qwen2.5-coder:7b,86.128,0.09,unsupported,290,290,0.0
fbench.bc,trace_line,4,5024,True,,,,pending,84,84,0.0
fbench.bc,transit_surface,8,6766,False,ollama/qwen2.5-coder:3b,,,pending,183,183,0.0
flops-1.bc,main,2,5124,True,,,,pending,154,154,0.0
richards_benchmark.bc,createtask,1,3617,True,,,,pending,59,59,0.0
richards_benchmark.bc,pkt,2,3345,True,,,,pending,47,47,0.0
richards_benchmark.bc,trace,2,2642,True,,,,pending,14,14,0.0
richards_benchmark.bc,schedule,6,4334,False,ollama/qwen2.5-coder:3b,92.032,,syntax_fail,88,88,0.0
richards_benchmark.bc,Wait,1,2514,True,,,,pending,7,7,0.0
richards_benchmark.bc,holdself,1,2625,True,,,,pending,12,12,0.0
richards_benchmark.bc,findtcb,4,2910,True,,,,pending,27,27,0.0
richards_benchmark.bc,release,3,3108,True,,,,pending,39,39,0.0
richards_benchmark.bc,qpkt,4,3740,True,,,,pending,68,68,0.0
richards_benchmark.bc,append,2,2846,True,,,,pending,23,23,0.0
richards_benchmark.bc,idlefn,3,2941,True,,,,pending,33,33,0.0
richards_benchmark.bc,workfn,4,3482,True,,,,pending,56,56,0.0
richards_benchmark.bc,handlerfn,7,4168,False,ollama/qwen2.5-coder:3b,74.306,0.081,unsupported,92,92,0.0
richards_benchmark.bc,devfn,4,3034,True,,,,pending,37,37,0.0
richards_benchmark.bc,main,3,4231,True,,,,pending,72,72,0.0
whetstone.bc,main,30,17104,False,ollama/qwen2.5-coder:7b,141.526,,syntax_fail,702,702,0.0
whetstone.bc,POUT,1,2404,True,,,,pending,23,23,0.0
whetstone.bc,PA,2,3728,True,,,,pending,93,93,0.0
whetstone.bc,P3,1,2594,True,,,,pending,36,36,0.0
whetstone.bc,P0,1,2454,True,,,,pending,25,25,0.0
flops-2.bc,main,3,5172,True,,,,pending,160,160,0.0
flops-3.bc,main,2,5263,True,,,,pending,158,158,0.0
flops-7.bc,main,2,5022,True,,,,pending,154,154,0.0
flops.bc,main,15,33613,False,claude-3-opus-20240229,,,pending,1342,1342,0.0
flops.bc,dtime,1,3440,True,,,,pending,27,27,0.0
flops-6.bc,main,2,6199,True,,,,pending,197,197,0.0
mandel.bc,emit,1,1420,True,,,,pending,13,13,0.0
mandel.bc,mandel,7,3588,False,ollama/qwen2.5-coder:3b,,,pending,121,121,0.0
mandel.bc,main,1,1305,True,,,,pending,8,8,0.0
flops-4.bc,main,2,5865,True,,,,pending,185,185,0.0
revertBits.bc,ReverseBits32,1,1996,True,,,,pending,42,42,0.0
revertBits.bc,ReverseBits64,1,2287,True,,,,pending,58,58,0.0
revertBits.bc,main,5,3098,False,ollama/qwen2.5-coder:3b,63.252,0.078,unsupported,91,91,0.0
evalloop.bc,execute,1,1509,True,,,,pending,7,7,0.0
evalloop.bc,eval,2,10592,True,,,,pending,420,420,0.0
evalloop.bc,main,3,2396,True,,,,pending,51,51,0.0
flops-5.bc,main,2,6204,True,,,,pending,198,198,0.0
dt.bc,main,2,2496,True,,,,pending,56,56,0.0
dt.bc,double_array_divs_variable,3,2147,True,,,,pending,41,41,0.0
himenobmtxpa.bc,main,1,6433,True,,,,pending,145,145,0.0
himenobmtxpa.bc,newMat,2,3991,True,,,,pending,49,49,0.0
himenobmtxpa.bc,mat_set_init,4,5185,True,,,,pending,108,108,0.0
himenobmtxpa.bc,mat_set,4,4892,True,,,,pending,93,93,0.0
himenobmtxpa.bc,jacobi,8,34621,False,claude-3-opus-20240229,,,pending,1464,1464,0.0
himenobmtxpa.bc,clearMat,2,3595,True,,,,pending,28,28,0.0
himenobmtxpa.bc,fflop,1,3302,True,,,,pending,19,19,0.0
himenobmtxpa.bc,mflops,1,3232,True,,,,pending,14,14,0.0
himenobmtxpa.bc,set_param,11,5079,False,ollama/qwen2.5-coder:3b,12.479,,syntax_fail,98,98,0.0
himenobmtxpa.bc,second,3,3794,True,,,,pending,39,39,0.0
salsa20.bc,salsa20,4,13820,True,,,,pending,609,609,0.0
salsa20.bc,salsa,2,1338,True,,,,pending,18,18,0.0
salsa20.bc,main,3,2172,True,,,,pending,61,61,0.0
lowercase.bc,main,2,2291,True,,,,pending,22,22,0.0
lowercase.bc,doTest,3,3477,True,,,,pending,76,76,0.0
lowercase.bc,lower_StringImpl,3,3011,True,,,,pending,60,60,0.0
lowercase.bc,toASCIILower,2,2197,True,,,,pending,18,18,0.0
ffbench.bc,main,18,8310,False,ollama/qwen2.5-coder:7b,40.531,0.08,unsupported,314,314,0.0
ffbench.bc,fourn,13,10759,False,ollama/qwen2.5-coder:7b,,,pending,450,450,0.0
ReedSolomon.bc,rsdec_204,7,3914,False,ollama/qwen2.5-coder:3b,,,pending,115,115,0.0
ReedSolomon.bc,rsenc_204,6,3439,False,ollama/qwen2.5-coder:3b,,,pending,92,92,0.0
ReedSolomon.bc,main,4,3066,True,,,,pending,73,73,0.0
ReedSolomon.bc,generate_gf,5,3943,False,ollama/qwen2.5-coder:3b,,,pending,106,106,0.0
ReedSolomon.bc,gen_poly,5,3866,False,ollama/qwen2.5-coder:3b,,,pending,107,107,0.0
ReedSolomon.bc,decode_rs,59,27241,False,ollama/qwen2.5-coder:7b,91.265,,syntax_fail,1217,1217,0.0
ReedSolomon.bc,encode_rs,7,4186,False,ollama/qwen2.5-coder:3b,,,pending,124,124,0.0
matmul_f64_4x4.bc,wrap_mul4,1,1929,True,,,,pending,11,11,0.0
matmul_f64_4x4.bc,mul4,2,16687,True,,,,pending,640,640,0.0
matmul_f64_4x4.bc,main,4,3165,True,,,,pending,68,68,0.0
pi.bc,myadd,1,1285,True,,,,pending,12,12,0.0
pi.bc,main,3,3847,True,,,,pending,144,144,0.0
fp-convert.bc,loop,2,1792,True,,,,pending,39,39,0.0
fp-convert.bc,main,4,2827,True,,,,pending,89,89,0.0
aarch64-init-cpu-features.bc,main,4,1755,True,,,,pending,45,45,0.0
flops-8.bc,main,2,6270,True,,,,pending,201,201,0.0
mandel-2.bc,sqr,1,1115,True,,,,pending,6,6,0.0
mandel-2.bc,cnorm2,1,1275,True,,,,pending,14,14,0.0
mandel-2.bc,loop,5,2545,False,ollama/qwen2.5-coder:3b,67.364,,syntax_fail,76,76,0.0
mandel-2.bc,main,4,2001,True,,,,pending,52,52,0.0
oourafft.bc,main,8,9162,False,ollama/qwen2.5-coder:7b,,,pending,301,301,0.0
oourafft.bc,get_time,1,3315,True,,,,pending,12,12,0.0
oourafft.bc,makewt,4,5410,True,,,,pending,122,122,0.0
oourafft.bc,putdata,2,3766,True,,,,pending,38,38,0.0
oourafft.bc,cdft,4,3976,True,,,,pending,45,45,0.0
oourafft.bc,errorcheck,3,4274,True,,,,pending,64,64,0.0
oourafft.bc,bitrv2,8,14636,False,ollama/qwen2.5-coder:7b,58.459,0.086,unsupported,587,587,0.0
oourafft.bc,cftfsub,6,9890,False,ollama/qwen2.5-coder:7b,91.111,0.032,unsupported,353,353,0.0
oourafft.bc,bitrv2conj,8,16489,False,ollama/qwen2.5-coder:7b,161.966,,syntax_fail,692,692,0.0
oourafft.bc,cftbsub,6,10023,False,ollama/qwen2.5-coder:7b,157.473,0.033,unsupported,362,362,0.0
oourafft.bc,cft1st,2,19633,True,,,,pending,853,853,0.0
oourafft.bc,cftmdl,6,24086,False,ollama/qwen2.5-coder:7b,146.66,,syntax_fail,1085,1085,0.0
perlin.bc,main,4,3557,True,,,,pending,56,56,0.0
perlin.bc,noise,1,7026,True,,,,pending,221,221,0.0
perlin.bc,init,2,3007,True,,,,pending,30,30,0.0
perlin.bc,fade,1,2672,True,,,,pending,13,13,0.0
perlin.bc,lerp,1,2647,True,,,,pending,13,13,0.0
perlin.bc,grad,7,3718,False,ollama/qwen2.5-coder:3b,112.214,0.082,unsupported,70,70,0.0
correlation.bc,polybench_flush_cache,2,3726,True,,,,pending,40,40,0.0
correlation.bc,polybench_prepare_instruments,1,2963,True,,,,pending,2,2,0.0
correlation.bc,polybench_timer_start,1,2998,True,,,,pending,4,4,0.0
correlation.bc,polybench_timer_stop,1,2988,True,,,,pending,3,3,0.0
correlation.bc,polybench_timer_print,1,3045,True,,,,pending,5,5,0.0
correlation.bc,polybench_free_data,1,3021,True,,,,pending,5,5,0.0
correlation.bc,polybench_alloc_data,1,3361,True,,,,pending,22,22,0.0
correlation.bc,xmalloc,3,3647,True,,,,pending,34,34,0.0
correlation.bc,main,1,4401,True,,,,pending,67,67,0.0
correlation.bc,init_array,3,3964,True,,,,pending,53,53,0.0
correlation.bc,kernel_correlation,11,9753,False,ollama/qwen2.5-coder:7b,67.097,0.111,unsupported,341,341,0.0
correlation.bc,print_array,3,4220,True,,,,pending,65,65,0.0
correlation.bc,rtclock,1,2963,True,,,,pending,1,1,0.0
correlation.bc,print_element,1,6785,True,,,,pending,203,203,0.0
covariance.bc,polybench_flush_cache,2,3647,True,,,,pending,40,40,0.0
covariance.bc,polybench_prepare_instruments,1,2884,True,,,,pending,2,2,0.0
covariance.bc,polybench_timer_start,1,2919,True,,,,pending,4,4,0.0
covariance.bc,polybench_timer_stop,1,2909,True,,,,pending,3,3,0.0
covariance.bc,polybench_timer_print,1,2966,True,,,,pending,5,5,0.0
covariance.bc,polybench_free_data,1,2942,True,,,,pending,5,5,0.0
covariance.bc,polybench_alloc_data,1,3282,True,,,,pending,22,22,0.0
covariance.bc,xmalloc,3,3568,True,,,,pending,34,34,0.0
covariance.bc,main,1,4111,True,,,,pending,58,58,0.0
covariance.bc,init_array,3,3874,True,,,,pending,53,53,0.0
covariance.bc,kernel_covariance,8,6977,False,ollama/qwen2.5-coder:3b,,,pending,206,206,0.0
covariance.bc,print_array,3,4139,True,,,,pending,65,65,0.0
covariance.bc,rtclock,1,2884,True,,,,pending,1,1,0.0
covariance.bc,print_element,1,6708,True,,,,pending,203,203,0.0
seidel-2d.bc,polybench_flush_cache,2,3835,True,,,,pending,40,40,0.0
seidel-2d.bc,polybench_prepare_instruments,1,3072,True,,,,pending,2,2,0.0
seidel-2d.bc,polybench_timer_start,1,3107,True,,,,pending,4,4,0.0
seidel-2d.bc,polybench_timer_stop,1,3097,True,,,,pending,3,3,0.0
seidel-2d.bc,polybench_timer_print,1,3154,True,,,,pending,5,5,0.0
seidel-2d.bc,polybench_free_data,1,3130,True,,,,pending,5,5,0.0
seidel-2d.bc,polybench_alloc_data,1,3470,True,,,,pending,22,22,0.0
seidel-2d.bc,xmalloc,3,3756,True,,,,pending,34,34,0.0
seidel-2d.bc,main,2,4494,True,,,,pending,67,67,0.0
seidel-2d.bc,init_array,3,4027,True,,,,pending,51,51,0.0
seidel-2d.bc,kernel_seidel_2d,4,6035,True,,,,pending,153,153,0.0
seidel-2d.bc,kernel_seidel_2d_StrictFP,4,6035,True,,,,pending,153,153,0.0
seidel-2d.bc,check_FP,5,5036,False,ollama/qwen2.5-coder:3b,,,pending,98,98,0.0
seidel-2d.bc,print_array,3,4329,True,,,,pending,65,65,0.0
seidel-2d.bc,rtclock,1,3072,True,,,,pending,1,1,0.0
seidel-2d.bc,print_element,1,6896,True,,,,pending,203,203,0.0
adi.bc,polybench_flush_cache,2,3630,True,,,,pending,40,40,0.0
adi.bc,polybench_prepare_instruments,1,2867,True,,,,pending,2,2,0.0
adi.bc,polybench_timer_start,1,2902,True,,,,pending,4,4,0.0
adi.bc,polybench_timer_stop,1,2892,True,,,,pending,3,3,0.0
adi.bc,polybench_timer_print,1,2949,True,,,,pending,5,5,0.0
adi.bc,polybench_free_data,1,2925,True,,,,pending,5,5,0.0
adi.bc,polybench_alloc_data,1,3265,True,,,,pending,22,22,0.0
adi.bc,xmalloc,3,3551,True,,,,pending,34,34,0.0
adi.bc,main,1,4191,True,,,,pending,62,62,0.0
adi.bc,init_array,3,3814,True,,,,pending,50,50,0.0
adi.bc,kernel_adi,8,13123,False,ollama/qwen2.5-coder:7b,129.298,,syntax_fail,518,518,0.0
adi.bc,print_array,3,4124,True,,,,pending,65,65,0.0
adi.bc,rtclock,1,2867,True,,,,pending,1,1,0.0
adi.bc,print_element,1,6691,True,,,,pending,203,203,0.0
jacobi-2d.bc,polybench_flush_cache,2,3908,True,,,,pending,40,40,0.0
jacobi-2d.bc,polybench_prepare_instruments,1,3145,True,,,,pending,2,2,0.0
jacobi-2d.bc,polybench_timer_start,1,3180,True,,,,pending,4,4,0.0
jacobi-2d.bc,polybench_timer_stop,1,3170,True,,,,pending,3,3,0.0
jacobi-2d.bc,polybench_timer_print,1,3227,True,,,,pending,5,5,0.0
jacobi-2d.bc,polybench_free_data,1,3203,True,,,,pending,5,5,0.0
jacobi-2d.bc,polybench_alloc_data,1,3543,True,,,,pending,22,22,0.0
jacobi-2d.bc,xmalloc,3,3829,True,,,,pending,34,34,0.0
jacobi-2d.bc,main,2,4957,True,,,,pending,82,82,0.0
jacobi-2d.bc,init_array,3,4472,True,,,,pending,71,71,0.0
jacobi-2d.bc,kernel_jacobi_2d,6,6897,False,ollama/qwen2.5-coder:3b,,,pending,191,191,0.0
jacobi-2d.bc,kernel_jacobi_2d_StrictFP,6,6897,False,ollama/qwen2.5-coder:3b,42.552,,syntax_fail,191,191,0.0
jacobi-2d.bc,check_FP,5,5109,False,ollama/qwen2.5-coder:3b,110.6,,syntax_fail,98,98,0.0
jacobi-2d.bc,print_array,3,4402,True,,,,pending,65,65,0.0
jacobi-2d.bc,rtclock,1,3145,True,,,,pending,1,1,0.0
jacobi-2d.bc,print_element,1,6969,True,,,,pending,203,203,0.0
jacobi-1d.bc,polybench_flush_cache,2,3816,True,,,,pending,40,40,0.0
jacobi-1d.bc,polybench_prepare_instruments,1,3053,True,,,,pending,2,2,0.0
jacobi-1d.bc,polybench_timer_start,1,3088,True,,,,pending,4,4,0.0
jacobi-1d.bc,polybench_timer_stop,1,3078,True,,,,pending,3,3,0.0
jacobi-1d.bc,polybench_timer_print,1,3135,True,,,,pending,5,5,0.0
jacobi-1d.bc,polybench_free_data,1,3111,True,,,,pending,5,5,0.0
jacobi-1d.bc,polybench_alloc_data,1,3451,True,,,,pending,22,22,0.0
jacobi-1d.bc,xmalloc,3,3737,True,,,,pending,34,34,0.0
jacobi-1d.bc,main,2,4818,True,,,,pending,82,82,0.0
jacobi-1d.bc,init_array,2,3834,True,,,,pending,43,43,0.0
jacobi-1d.bc,kernel_jacobi_1d,4,4936,True,,,,pending,100,100,0.0
jacobi-1d.bc,kernel_jacobi_1d_StrictFP,4,4936,True,,,,pending,100,100,0.0
jacobi-1d.bc,check_FP,4,4539,True,,,,pending,76,76,0.0
jacobi-1d.bc,print_array,2,3963,True,,,,pending,48,48,0.0
jacobi-1d.bc,rtclock,1,3053,True,,,,pending,1,1,0.0
jacobi-1d.bc,print_element,1,6877,True,,,,pending,203,203,0.0
heat-3d.bc,polybench_flush_cache,2,3711,True,,,,pending,40,40,0.0
heat-3d.bc,polybench_prepare_instruments,1,2948,True,,,,pending,2,2,0.0
heat-3d.bc,polybench_timer_start,1,2983,True,,,,pending,4,4,0.0
heat-3d.bc,polybench_timer_stop,1,2973,True,,,,pending,3,3,0.0
heat-3d.bc,polybench_timer_print,1,3030,True,,,,pending,5,5,0.0
heat-3d.bc,polybench_free_data,1,3006,True,,,,pending,5,5,0.0
heat-3d.bc,polybench_alloc_data,1,3346,True,,,,pending,22,22,0.0
heat-3d.bc,xmalloc,3,3632,True,,,,pending,34,34,0.0
heat-3d.bc,main,1,4081,True,,,,pending,53,53,0.0
heat-3d.bc,init_array,4,4567,True,,,,pending,83,83,0.0
heat-3d.bc,kernel_heat_3d,8,10761,False,ollama/qwen2.5-coder:7b,124.741,,syntax_fail,377,377,0.0
heat-3d.bc,print_array,4,4551,True,,,,pending,82,82,0.0
heat-3d.bc,rtclock,1,2948,True,,,,pending,1,1,0.0
heat-3d.bc,print_element,1,6772,True,,,,pending,203,203,0.0
fdtd-2d.bc,polybench_flush_cache,2,3987,True,,,,pending,40,40,0.0
fdtd-2d.bc,polybench_prepare_instruments,1,3224,True,,,,pending,2,2,0.0
fdtd-2d.bc,polybench_timer_start,1,3259,True,,,,pending,4,4,0.0
fdtd-2d.bc,polybench_timer_stop,1,3249,True,,,,pending,3,3,0.0
fdtd-2d.bc,polybench_timer_print,1,3306,True,,,,pending,5,5,0.0
fdtd-2d.bc,polybench_free_data,1,3282,True,,,,pending,5,5,0.0
fdtd-2d.bc,polybench_alloc_data,1,3622,True,,,,pending,22,22,0.0
fdtd-2d.bc,xmalloc,3,3908,True,,,,pending,34,34,0.0
fdtd-2d.bc,main,1,6164,True,,,,pending,125,125,0.0
fdtd-2d.bc,init_array,4,5326,True,,,,pending,112,112,0.0
fdtd-2d.bc,kernel_fdtd_2d,9,8236,False,ollama/qwen2.5-coder:7b,88.892,,syntax_fail,249,249,0.0
fdtd-2d.bc,kernel_fdtd_2d_StrictFP,9,8240,False,ollama/qwen2.5-coder:7b,38.591,0.093,unsupported,252,252,0.0
fdtd-2d.bc,print_array,5,5682,False,ollama/qwen2.5-coder:3b,46.192,,syntax_fail,123,123,0.0
fdtd-2d.bc,rtclock,1,3224,True,,,,pending,1,1,0.0
fdtd-2d.bc,print_element,1,7048,True,,,,pending,203,203,0.0
deriche.bc,polybench_flush_cache,2,4262,True,,,,pending,40,40,0.0
deriche.bc,polybench_prepare_instruments,1,3499,True,,,,pending,2,2,0.0
deriche.bc,polybench_timer_start,1,3534,True,,,,pending,4,4,0.0
deriche.bc,polybench_timer_stop,1,3524,True,,,,pending,3,3,0.0
deriche.bc,polybench_timer_print,1,3581,True,,,,pending,5,5,0.0
deriche.bc,polybench_free_data,1,3557,True,,,,pending,5,5,0.0
deriche.bc,polybench_alloc_data,1,3897,True,,,,pending,22,22,0.0
deriche.bc,xmalloc,3,4183,True,,,,pending,34,34,0.0
deriche.bc,main,2,6055,True,,,,pending,112,112,0.0
deriche.bc,init_array,3,4572,True,,,,pending,57,57,0.0
deriche.bc,kernel_deriche,13,14245,False,ollama/qwen2.5-coder:7b,109.586,,syntax_fail,533,533,0.0
deriche.bc,kernel_deriche_StrictFP,13,14258,False,ollama/qwen2.5-coder:7b,70.84,,syntax_fail,546,546,0.0
deriche.bc,check_FP,5,5443,False,ollama/qwen2.5-coder:3b,97.17,,syntax_fail,98,98,0.0
deriche.bc,print_array,4,5067,True,,,,pending,81,81,0.0
deriche.bc,rtclock,1,3499,True,,,,pending,1,1,0.0
deriche.bc,print_element,1,7323,True,,,,pending,203,203,0.0
floyd-warshall.bc,polybench_flush_cache,2,3815,True,,,,pending,40,40,0.0
floyd-warshall.bc,polybench_prepare_instruments,1,3052,True,,,,pending,2,2,0.0
floyd-warshall.bc,polybench_timer_start,1,3087,True,,,,pending,4,4,0.0
floyd-warshall.bc,polybench_timer_stop,1,3077,True,,,,pending,3,3,0.0
floyd-warshall.bc,polybench_timer_print,1,3134,True,,,,pending,5,5,0.0
floyd-warshall.bc,polybench_free_data,1,3110,True,,,,pending,5,5,0.0
floyd-warshall.bc,polybench_alloc_data,1,3450,True,,,,pending,22,22,0.0
floyd-warshall.bc,xmalloc,3,3736,True,,,,pending,34,34,0.0
floyd-warshall.bc,main,2,4338,True,,,,pending,61,61,0.0
floyd-warshall.bc,init_array,6,4463,False,ollama/qwen2.5-coder:3b,90.694,0.087,unsupported,73,73,0.0
floyd-warshall.bc,kernel_floyd_warshall,5,5272,False,ollama/qwen2.5-coder:3b,,,pending,110,110,0.0
floyd-warshall.bc,kernel_floyd_warshall_StrictFP,5,5272,False,ollama/qwen2.5-coder:3b,,,pending,110,110,0.0
floyd-warshall.bc,check_FP,5,5050,False,ollama/qwen2.5-coder:3b,,,pending,100,100,0.0
floyd-warshall.bc,print_array,3,4326,True,,,,pending,66,66,0.0
floyd-warshall.bc,rtclock,1,3052,True,,,,pending,1,1,0.0
floyd-warshall.bc,print_element,1,6876,True,,,,pending,203,203,0.0
nussinov.bc,polybench_flush_cache,2,3848,True,,,,pending,40,40,0.0
nussinov.bc,polybench_prepare_instruments,1,3085,True,,,,pending,2,2,0.0
nussinov.bc,polybench_timer_start,1,3120,True,,,,pending,4,4,0.0
nussinov.bc,polybench_timer_stop,1,3110,True,,,,pending,3,3,0.0
nussinov.bc,polybench_timer_print,1,3167,True,,,,pending,5,5,0.0
nussinov.bc,polybench_free_data,1,3143,True,,,,pending,5,5,0.0
nussinov.bc,polybench_alloc_data,1,3483,True,,,,pending,22,22,0.0
nussinov.bc,xmalloc,3,3769,True,,,,pending,34,34,0.0
nussinov.bc,main,2,4746,True,,,,pending,76,76,0.0
nussinov.bc,init_array,4,4292,True,,,,pending,63,63,0.0
nussinov.bc,kernel_nussinov,16,10607,False,ollama/qwen2.5-coder:7b,120.565,,syntax_fail,373,373,0.0
nussinov.bc,kernel_nussinov_StrictFP,16,10607,False,ollama/qwen2.5-coder:7b,143.292,,syntax_fail,373,373,0.0
nussinov.bc,check_FP,5,5083,False,ollama/qwen2.5-coder:3b,,,pending,100,100,0.0
nussinov.bc,print_array,3,4359,True,,,,pending,66,66,0.0
nussinov.bc,rtclock,1,3085,True,,,,pending,1,1,0.0
nussinov.bc,print_element,1,6909,True,,,,pending,203,203,0.0
3mm.bc,polybench_flush_cache,2,3838,True,,,,pending,40,40,0.0
3mm.bc,polybench_prepare_instruments,1,3075,True,,,,pending,2,2,0.0
3mm.bc,polybench_timer_start,1,3110,True,,,,pending,4,4,0.0
3mm.bc,polybench_timer_stop,1,3100,True,,,,pending,3,3,0.0
3mm.bc,polybench_timer_print,1,3157,True,,,,pending,5,5,0.0
3mm.bc,polybench_free_data,1,3133,True,,,,pending,5,5,0.0
3mm.bc,polybench_alloc_data,1,3473,True,,,,pending,22,22,0.0
3mm.bc,xmalloc,3,3759,True,,,,pending,34,34,0.0
3mm.bc,main,1,5663,True,,,,pending,115,115,0.0
