file_name,function_name,complexity,tokens,orig_instrs
ReedSolomon.bc,decode_rs,59,23866,1217
Puzzle.bc,Puzzle,49,14542,672
timeit.bc,main,36,12208,378
huffbench.bc,compdecomp,32,13992,660
whetstone.bc,main,30,14533,702
timeit.bc,execute_target_process,27,9405,219
exptree.bc,recSearch,22,6662,239
functionobjects.bc,main,21,28384,501
linpack-pc.bc,main,21,17440,738
smallpt.bc,_Z8radianceRK3RayiPt,18,24255,999
timeit.bc,monitor_child_process,18,9582,224
ffbench.bc,main,18,7253,314
fpcmp.bc,CompareNumbers,17,8220,262
nussinov.bc,kernel_nussinov,16,9361,373
nussinov.bc,kernel_nussinov_StrictFP,16,9361,373
fpcmp.bc,AdvanceNumber,16,5937,130
flops.bc,main,15,27692,1342
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyER24inline_less_than_functorPdLb0EEEvT1_S5_T0_NS_15iterator_traitsIS5_E15difference_typeEb,15,25533,287
functionobjects.bc,_ZNSt3__111__introsortINS_17_ClassicAlgPolicyERPFbddEPdLb0EEEvT1_S6_T0_NS_15iterator_traitsIS6_E15difference_typeEb,15,25469,293
fannkuch.bc,fannkuch,15,6087,294
queens.bc,main,15,5226,177
functionobjects.bc,_ZNSt3__118__bitset_partitionB8ne190102INS_17_ClassicAlgPolicyEPdR24inline_less_than_functorEENS_4pairIT0_bEES6_S6_T1_,14,22917,168
deriche.bc,kernel_deriche_StrictFP,13,12322,546
deriche.bc,kernel_deriche,13,12309,533
ffbench.bc,fourn,13,9128,450
misr.bc,simulate,13,7323,325
misr.bc,main,13,5803,206
smallpt.bc,main,12,13880,511
fbench.bc,main,12,9272,290
ludcmp.bc,init_array,12,7428,268
lists.bc,test_lists,12,4820,146
linpack-pc.bc,dmxpy,11,14493,732
correlation.bc,kernel_correlation,11,8409,341
cholesky.bc,init_array,11,7471,257
lu.bc,init_array,11,6851,223
fpcmp.bc,main,11,6780,174
himenobmtxpa.bc,set_param,11,4423,98
mandel-text.bc,main,11,4093,192
linpack-pc.bc,dgesl,10,7834,287
ludcmp.bc,kernel_ludcmp,10,7521,278
